Training set size,Fraction,CNN v1 val acc,ResNet18-FT val acc
367,0.1,0.9464968152866242,0.9592356687898089
916,0.25,0.9426751592356688,0.975796178343949
3662,1.0,0.9770700636942675,0.9872611464968153
