epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,time_per_epoch_s
1,0.27368915662910037,0.8850354997269252,0.8489966867857237,0.633354345248763,0.7439490445859872,0.43140745438755174,129.49242740002228
2,0.15770169427076172,0.9437465865647188,0.9255613498288557,0.14283652821448958,0.9515923566878981,0.9391472868217055,131.08525070000906
3,0.12353345397340998,0.9584926269797924,0.9453466538002173,0.4471804021270412,0.8076433121019109,0.6465071199582495,139.79709720000392
4,0.11602766962405568,0.9541234298197706,0.9396362254861944,0.10462623924776247,0.9643312101910828,0.9525622431713803,125.97527890000492
5,0.09949617128634082,0.9623156744948116,0.9504851195515172,0.17724848719918804,0.9146496815286624,0.8750299980278524,106.01384800000233
6,0.08678707913386242,0.9658656471873294,0.954911335147518,0.12026232725638113,0.9554140127388535,0.9438700358945757,104.51629400000093
7,0.09834519019711545,0.962588749317313,0.9508266697299492,0.11575897724195651,0.9617834394904459,0.9473512421082754,101.01585880000493
8,0.06658413845909417,0.9759694156198798,0.9685353535945285,0.134484188723716,0.9452229299363057,0.9229585909558795,102.02575889998116
9,0.06433217373540791,0.9784270890223922,0.9716644614158485,0.07026081125068057,0.9719745222929936,0.9633383149635718,101.75034840000444
10,0.0644740784995498,0.9773347897323866,0.9703127956123112,0.0868124849667215,0.9643312101910828,0.9513931888544891,98.0008519999974
11,0.05366811934290917,0.980611687602403,0.9744980944828523,0.3270152730689307,0.89171974522293,0.8737724859016778,103.66584090000833
12,0.043128597945308565,0.9860731840524304,0.9817457559776975,0.05928740143348837,0.9796178343949045,0.9736740614048326,99.72386589998496
13,0.05491874353061896,0.9803386127799016,0.9740749582802537,0.13728759528321635,0.9477707006369427,0.9353570775815494,98.13769109998248
14,0.04318036493890553,0.9833424358274168,0.9781512534356598,0.05189810134233183,0.9808917197452229,0.9746296795044438,112.08114600001136
15,0.036535456197784935,0.9893500819224468,0.9861083916624671,0.10730768551302564,0.9605095541401274,0.9505708673812411,107.54508569999598
16,0.04159874114315247,0.9838885854724194,0.9788970474834501,0.07375257123427786,0.9732484076433121,0.9639924774092932,102.14915850001853
17,0.03338392734006739,0.988803932277444,0.9852942141525289,0.23944457516928389,0.9261146496815287,0.9106020860167761,110.62796720000915
18,0.02238136709396636,0.9929000546149646,0.9907165202102794,0.1540589582578392,0.9439490445859873,0.9216182851333442,103.36919510000735
19,0.03237969090257721,0.9890770070999454,0.9857078181591108,0.05604353247174791,0.978343949044586,0.9710513699893056,107.92637380000087
20,0.023391220444798237,0.9934462042599672,0.9914246908954665,0.07204738628522606,0.9732484076433121,0.965817831956854,122.85006019999855
