Model,Trainable params,Val accuracy,Macro-F1,Time/epoch (s)
CNN v1 (Day 2),98178,0.9808917197452228,0.9746296795044438,110.38746993500244
ResNet18 – head only (Phase A),1026,0.9439490445859873,0.9266766299271436,141.11743099999148
ResNet18 – fine-tune layer4 (Phase B),8394754,0.9834394904458599,0.978508957584411,120.45467949996237
