model,rmse,mae
RandomForest,195.89778725515544,41.347676526011554
XGBoost,206.69840901579346,71.07464295605618
LightGBM,224.55384374275508,81.46588340580209
CatBoost,589.9414714322817,208.67760213901116
Weighted_average,194.00223381913452,60.127457052468955
Ridge_stack,183.42239419207596,42.99176443882057
