model,rmse,mae,train_time_s,peak_memory_mb
RandomForest,1264.7529330615082,575.0790666953463,18.85537230002228,684.75390625
XGBoost,1228.2405283412718,550.4794803716097,2.847866900032386,657.37890625
LightGBM,1121.6023230270835,523.8166045197574,1.8289671000093222,613.16796875
CatBoost_encoded,1168.7285035978782,533.4429667844967,3.636164099967573,609.859375
CatBoost_raw,972.7762171006531,419.35646265159676,10.49222049996024,684.39453125
